id,distance_from_office,salary_range,gas_price_per_litre,public_transportation_cost,wfh_prev_workday,workday,tenure,work_home_actual
0,5.962247285,40K - 60K,2.119484594,8.568057655,FALSE,Friday,0.212653296,1
1,0.535871939,40K - 60K,2.357199211,5.425381906,TRUE,Tuesday,4.927548591,0
2,1.969519219,40K - 60K,2.366849427,8.2471585,FALSE,Monday,0.520816661,1
3,2.530409967,20K - 40K,2.318722309,7.944250617,FALSE,Tuesday,0.453648661,1
4,2.253635049,60K+,2.221265271,8.884478482,TRUE,Thursday,5.695263048,1
5,0.692437829,20K - 40K,2.001137445,8.59183857,FALSE,Thursday,1.690227006,1
6,7.155120277,0 - 20K,2.061983816,8.747406356,TRUE,Wednesday,5.941544399,0
7,0.050213628,20K - 40K,2.356606599,6.067513814,TRUE,Tuesday,4.175948419,1
8,9.296334039,60K+,1.537299877,7.409303792,FALSE,Thursday,2.331491891,1
9,2.080157016,0 - 20K,2.302969226,8.270616869,TRUE,Tuesday,6.921274652,0
10,6.440554042,60K+,2.38183686,4.176402077,TRUE,Wednesday,3.551001124,0
11,0.071868195,20K - 40K,2.387681169,7.283298723,TRUE,Thursday,6.705039031,1
12,0.673603293,0 - 20K,1.591393331,8.285836371,FALSE,Wednesday,6.183096843,0
13,1.046522488,40K - 60K,2.187492235,8.890726399,FALSE,Wednesday,1.704015235,1
14,4.235747056,20K - 40K,1.900433521,5.35068246,TRUE,Wednesday,5.818321964,1
15,0.174754742,40K - 60K,2.245707109,8.305216624,TRUE,Monday,1.327784225,1
16,0.549321037,0 - 20K,1.478521638,8.334416241,TRUE,Friday,6.547673192,0
17,1.04308446,40K - 60K,2.394736843,4.320019823,TRUE,Monday,6.828728581,0
18,2.739753141,20K - 40K,2.310874274,4.233484584,FALSE,Thursday,6.780049192,0
19,0.534185871,40K - 60K,2.347361204,8.708943796,TRUE,Friday,4.550705115,1
20,2.071829229,0 - 20K,1.947439315,4.583149714,TRUE,Friday,4.648606459,0
21,0.182363192,20K - 40K,2.091714075,6.087790036,TRUE,Wednesday,2.798263846,0
22,3.61456313,0 - 20K,1.733980812,8.783491528,TRUE,Tuesday,5.713691989,1
23,3.677990271,0 - 20K,1.415075008,8.069151171,FALSE,Friday,6.94102,0
24,10.01400066,0 - 20K,1.841125717,8.837482307,TRUE,Friday,6.798900286,0
25,1.171002679,0 - 20K,1.416172948,8.49015281,TRUE,Wednesday,4.301077513,0
26,2.125286588,0 - 20K,2.269090958,8.082010711,TRUE,Friday,6.498707207,1
27,2.249569449,20K - 40K,1.605250411,4.164652393,TRUE,Friday,6.770174738,0
28,1.124035253,40K - 60K,2.382841572,8.765309978,FALSE,Wednesday,2.1830491,1
29,0.351132358,0 - 20K,1.449950444,7.72334644,FALSE,Thursday,2.881125097,0
30,1.948060881,0 - 20K,2.372829721,8.460605831,TRUE,Thursday,6.484235775,1
31,0.196718031,20K - 40K,2.342310475,7.13675451,TRUE,Thursday,5.787455499,1
32,7.993375391,20K - 40K,2.340017095,8.856281545,TRUE,Tuesday,6.551378843,1
33,0.81206957,60K+,2.368248082,8.91825293,TRUE,Friday,1.050151616,1
34,0.354097645,20K - 40K,2.319368153,8.116612757,TRUE,Thursday,3.203181703,1
35,3.664446018,20K - 40K,2.340510614,8.766561987,TRUE,Monday,6.769380189,1
36,0.091842773,0 - 20K,1.755370415,5.554455932,TRUE,Thursday,6.507537264,0
37,0.445953082,0 - 20K,1.461743537,7.688219934,FALSE,Monday,3.687937563,0
38,14.46049307,60K+,2.398762886,8.645703722,FALSE,Thursday,0.040040364,1
39,1.939514606,20K - 40K,2.061003885,4.3074991,TRUE,Friday,6.35851674,0
